generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,avg_cost
0,6400,0.00038078178299203694,0.0006175545521598778,0.0004751069336919353,3.2525455147459657e-05,2104.7893202257733
1,6400,0.00037543228783465827,0.0006688590582336606,0.00047579487627999066,3.2843942339230835e-05,2101.746046150213
2,6400,0.00038211961591837375,0.0006241664938227823,0.0004754218432370184,3.289510821067701e-05,2103.395151537992
3,6400,0.00038436678613308265,0.000638241864854675,0.0004757996885836855,3.3054007665283304e-05,2101.724788800731
4,6400,0.0003790892919698295,0.0006112415611797023,0.0004750629928448516,3.2032745440537945e-05,2104.9840022512235
5,6400,0.0003826817795826511,0.0006308928083402074,0.0004750634665124554,3.2506982120700504e-05,2104.9819034522234
6,6400,0.0003859482334000434,0.0006146875548254678,0.00047641453963332894,3.266634206451208e-05,2099.012344941544
7,6400,0.00038965919866451875,0.0006239624430287708,0.0004759080375395986,3.236925168979148e-05,2101.246293653516
8,6400,0.00038479446679366925,0.0006211673215189681,0.0004757889794271959,3.262912958432268e-05,2101.7720948557985
9,6400,0.000380302489965763,0.0006647428585726482,0.00047625054555830665,3.23531845185052e-05,2099.735127500387
10,6400,0.00037835276971074646,0.0006257038090694797,0.0004752436804804736,3.258271905614517e-05,2104.1836873853754
11,6400,0.0003792122654325784,0.0006313181115500047,0.0004748866081721595,3.202675798263324e-05,2105.7658455541714
12,6400,0.00038484992488278883,0.0006084366612306182,0.0004763468075059166,3.207515978908876e-05,2099.3108051586537
13,6400,0.00038237250396768954,0.0006752249101033878,0.0004762611860239967,3.274929815121858e-05,2099.688215931194
14,6400,0.00039065203866028056,0.0006705534504542735,0.00047588699507671354,3.264852590974647e-05,2101.339205201014
15,6400,0.0003805278841516104,0.000618078596586955,0.00047530393576087357,3.164257063467292e-05,2103.9169355902454
16,6400,0.00038351047691967323,0.0006607271283289308,0.0004762930629939935,3.197446735147228e-05,2099.5476896387445
17,6400,0.00037790111163373897,0.000640913746599773,0.00047555125504580387,3.220654411796826e-05,2102.8227544130496
18,6400,0.00038945357341723725,0.0006339527236959139,0.0004755378864384829,3.230612177715126e-05,2102.8818702321487
19,6400,0.00037950595745210483,0.0006511883325125989,0.0004758008059083781,3.223206138181699e-05,2101.719853313077
20,6400,0.00037750509089503546,0.0006376175082739293,0.00047595675458301167,3.232738350564963e-05,2101.031218426778
21,6400,0.0003822847285496552,0.000666430347385492,0.00047608651311037024,3.2616653810828266e-05,2100.4585773009953
